"","plot.index","mod","OM","P","Kppm","Mgppm","Cappm","pH","CEC","K","Mg","Ca","C","N","C.N","spalpha.light","spalpha.l","spalpha.o","spalpha.r"
"49",16,"a",-0.320367796556101,0.32458553255401,0.238787858025495,1.40975560457287,1.30353360483135,0.89822854463126,0.160208525805967,-0.330513488176051,0.699060085283659,0.999903168036233,-0.2524772458188,0.819172154465038,-1.58239614623714,0.346754770202515,1.32402125776225,0.805756703638331,0.978626719461435
"50",16,"b",0.915759024617285,0.32458553255401,0.85035762744717,1.74625164651141,1.54906567008627,0.978605735597202,0.557912102429824,-0.330513488176051,0.614352549439338,1.08285442758389,0.885635342467969,2.23862657027253,-1.4562894423311,0.517954546319133,0.724298731718152,0.624872864198616,-0.317793072811211
"51",16,"c",-0.170534242474478,0.0498308335422072,0.765767528080849,1.40975560457287,1.17332132939074,0.475839757872864,0.206097400031796,-0.109252348066211,0.648235563777066,0.780019847606882,-0.120347711594146,0.296258412286583,-0.627119482597095,0.346754770202515,1.5955598365502,0.459818298085557,0.978626719461435
"52",16,"d",-0.657493293239751,0.0498308335422072,1.05816782207195,1.40975560457287,1.27243187047599,0.978605735597202,0.129615942988747,0.0886724862454248,0.732943099621387,0.977590450281436,-0.599838738047307,0.458757426098203,-1.71219429762656,0.560606494583212,0.724298731718152,0.805756703638331,0.978626719461435
"69",17,"a",-0.170534242474478,-0.803635214855761,-0.730310562327745,-0.962870033917813,-1.02371938966623,-0.711651530298979,-1.06349478688282,0.971597079614382,-0.351313359185921,-0.501438408594408,-0.120347711594146,-0.402842447965672,0.464346187184402,0.00146154020955892,-0.649990603788378,0.459818298085557,-1.14065087917377
"70",17,"b",0.653550304974446,0.32458553255401,-0.0386808088401449,-0.0864267199785146,0.320413477735729,0.475839757872864,-0.803457832936456,0.786672632542912,0.326346927568647,0.588570295842379,0.66481935842849,0.42861410720621,0.491140550116058,0.560606494583212,-0.914173679877862,-1.26987372967831,-0.522665549096902
"71",17,"c",-0.0207006883928556,-0.304389580904282,0.329087293448957,-0.239985004800701,-0.280017723215617,-0.601241211899706,-0.665791210258967,0.786672632542912,-0.0802492444840937,-0.229719423487345,0.0714891850497543,-0.075391794173805,0.272110669738167,-0.129039401358999,-0.41115084646863,0.866673433027834,-0.778269406991532
"72",17,"d",-0.357826185076506,-0.304389580904282,0.147419678614676,-0.666269861284938,-0.0405992625706146,-0.601241211899706,-0.619902336033137,0.581536470915617,-0.571552952381155,-0.0295489548373516,-0.319918819959976,-0.197325950085632,-0.232685985374453,0.00146154020955892,-0.914173679877862,0.909894540361888,-0.894313054949608
"9",18,"a",-1.55649461772949,-0.803635214855761,-0.278064308023324,-0.162195085133171,-0.423288188714886,-0.711651530298979,-0.711680084484797,0.507858460666901,0.072224320035684,-0.331313265552484,-1.7608230983482,-1.36143068559945,-1.33367001040885,0.81529370171732,0.386528307682667,0.866673433027834,0.5965164415721
"10",18,"b",-0.882243624362185,-1.65710126325373,0.00827783084236141,0.0596271518492715,-0.280017723215617,-0.94003027821522,0.450838062569555,-0.581358679997656,-0.67320199539434,-0.806766060355282,-0.898480652204027,-1.47633484020178,0.947658540255532,0.389644005356796,1.03491069321261,0.701618866914775,0.622979917298452
"11",18,"c",-0.694951681760157,0.0498308335422072,-0.22955542959183,-0.402339061536845,-0.423288188714886,-0.824543185999362,0.557912102429824,-0.870938202016348,-0.99509063160276,-0.927899069821096,-0.672599255049481,-1.04667305100773,0.544248413300481,0.7306296081444,-0.191515022178247,0.805756703638331,0.727342671340056
"12",18,"d",-0.844785235841779,0.32458553255401,-0.181368879998563,-0.487327565571779,-0.280017723215617,-0.824543185999362,0.772060182150362,-1.03439329016179,-1.09673967461594,-0.898084867568476,-0.821853496302309,-0.520503213121762,-0.696409229410003,-0.0419764073807109,-0.191515022178247,0.805756703638331,-0.740515128675163
"29",19,"a",-0.170534242474478,-0.803635214855761,-0.94133918900529,-1.3084845686594,-1.3323834695194,-0.493205494000309,-1.30823544942058,1.52664092138858,-0.334371852017056,-0.434135342759129,-0.120347711594146,-0.26497667620329,0.243955314369363,-0.129039401358999,0.0129170185274749,-1.26987372967831,-0.0613050680873295
